titulo,enlace
Alcalde de Guayaquil responde a cuestionamientos sobre gastos en comunicación,https://www.expreso.echttps://www.expreso.ec/actualidad/alcalde-guayaquil-responde-cuestionamientos-gastos-comunicacion-229314.html
Elecciones Ecuador 2025: EN VIVO el primer debate de candidatos a la Asamblea,https://www.expreso.echttps://www.expreso.ec/actualidad/elecciones-ecuador-2025-vivo-primer-debate-candidatos-asamblea-229206.html
Ecuador recibirá 251 millones de dólares por las primeras ventas de crudo en 2025,https://www.expreso.echttps://www.expreso.ec/actualidad/economia/ecuador-recibira-251-millones-dolares-primeras-ventas-crudo-2025-229296.html
Así avanza la construcción del segundo tramo del puente en la avenida de las Américas,https://www.expreso.echttps://www.expreso.ec/guayaquil/avanza-construccion-segundo-tramo-puente-avenida-americas-229251.html
Noche Amarilla 2025: revive la victoria de Barcelona SC y el show en Nueva Jersey,https://www.expreso.echttps://www.expreso.ec/deportes/noche-amarilla-2025-revive-victoria-barcelona-sc-nueva-jersey-229306.html
Guayaquil ya tiene una ruta que conecta directamente con el Parque Samanes,https://www.expreso.echttps://www.expreso.ec/guayaquil/guayaquil-ruta-alimentadora-samanes-metrovia-pasajeros-transporte-publico-guayaquil-aquiles-alvarez-229309.html
"Sector bananero creció 1,42 % en 2024, pese a desafíos climáticos y logísticos",https://www.expreso.echttps://www.expreso.ec/actualidad/economia/sector-bananero-crecio-1-42-2024-pese-desafios-climaticos-logisticos-229298.html
El Nacional gana la Copa AFNA y se enfoca en la Supercopa Ecuador,https://www.expreso.echttps://www.expreso.ec/deportes/nacional-gana-copa-afna-enfoca-supercopa-ecuador-229297.html
Asesinan a dos agentes de tránsito en la costa en menos de 24 horas,https://www.expreso.echttps://www.expreso.ec/guayaquil/asesinan-dos-agentes-transito-salinas-naranjito-asesinato-ecuador-229293.html
"En la vía E35, una mujer transportaba 6 kilos de heroína en cajas de cereal",https://www.expreso.echttps://www.expreso.ec/quito/mujer-transportaba-6-kilos-heroina-cajas-cereal-e35-229292.html
¿Cómo influyen las sanciones de EE.UU. a Colombia en los exportadores ecuatorianos?,https://www.expreso.echttps://www.expreso.ec/actualidad/economia/influyen-sanciones-colombia-exportadores-ecuatorianos-229290.html
Más de 300 comerciantes expusieron sus productos en feria del parque Samanes,https://www.expreso.echttps://www.expreso.ec/guayaquil/300-comerciantes-expusieron-productos-feria-parque-samanes-229294.html
"Guayaquil: usuarios se quejan de ""cobros excesivos"" de Interagua",https://www.expreso.echttps://www.expreso.ec/guayaquil/usuarios-quejas-cobros-excesivos-interagua-229288.html
Metanol en Flor de Jamaica: Arcsa suspende producto y emite alerta,https://www.expreso.echttps://www.expreso.ec/guayaquil/metanol-flor-jamaica-arcsa-suspende-alerta-sanitaria-guayaquil-229284.html
Tiroteo en una fiesta de cumpleaños deja un muerto en el sur de Guayaquil,https://www.expreso.echttps://www.expreso.ec/guayaquil/tiroteo-fiesta-cumpleanos-deja-muerto-sur-guayaquil-229280.html
Un nuevo cadáver aparece flotando en el Estero Salado,https://www.expreso.echttps://www.expreso.ec/guayaquil/nuevo-cadaver-aparece-flotando-estero-salado-229278.html
La reforestación se activó en seis sectores de Quito,https://www.expreso.echttps://www.expreso.ec/quito/reforestacion-activo-seis-sectores-quito-229281.html
Conozca cómo funcionará el Pico y Placa el lunes 27 de enero,https://www.expreso.echttps://www.expreso.ec/quito/conozca-funcionara-pico-placa-lunes-27-enero-229270.html
Metro de Quito: Hasta dos minutos de espera en trenes por reducción de velocidad,https://www.expreso.echttps://www.expreso.ec/quito/metro-quito-dos-minutos-espera-trenes-reduccion-velocidad-229263.html
Quito: Persecución en la av. Interoceánica deja tres detenidos,https://www.expreso.echttps://www.expreso.ec/quito/quito-persecucion-av-interoceanica-deja-tres-detenidos-229255.html
Deuda impaga frena a la bicicleta pública en Quito,https://www.expreso.echttps://www.expreso.ec/quito/deuda-impaga-frena-bicicleta-publica-quito-229198.html
