titulo,enlace
Rafael Correa reconoció a Nicolás Maduro como presidente de Venezuela,https://www.eltelegrafo.com.ec/noticias/politica/44/rafael-correa-reconocio-maduro-presidente
Gobierno Nacional rechaza nombramiento ilegal de Superintendente de Bancos,https://www.eltelegrafo.com.ec/noticias/politica/44/gobierno-nacional-rechaza-nombramiento-ilegal
Presidente Noboa deroga decretos sobre indultos a privados de libertad,https://www.eltelegrafo.com.ec/noticias/politica/44/presidente-noboa-deroga-indultos-lasso
"Esteban Ron: ""Y si queremos decir que (Noboa) ganó la interpelación, la ha ganado""",https://www.eltelegrafo.com.ec/noticias/politica/44/daniel-noboa-mantiene-la-tendencia-como-ganador-del-debate-electoral
Daniel Noboa encarga la Presidencia a Cynthia Gellibert hasta el 19 de enero,https://www.eltelegrafo.com.ec/noticias/politica/44/daniel-noboa-encarga-gellibert-presidencia
Ministra Ivonne Núñez apeló sentencia y solicita revocar acción de protección de Verónica Abad,https://www.eltelegrafo.com.ec/noticias/politica/44/ministra-ivonne-nunez-apelo-sentencia
Presidente Noboa recorrió el Complejo Hidroeléctrico Paute-Molino,https://www.eltelegrafo.com.ec/noticias/politica/44/presidente-noboa-recorrio-el-complejo-hidroelectrico-paute-molino
Campaña Electoral 2025: Estas fueron las actividades de los candidatos,https://www.eltelegrafo.com.ec/noticias/politica/44/campana-electoral-actores-presidenciales
CNE y Contraloría firman convenio de cooperación para las elecciones,https://www.eltelegrafo.com.ec/noticias/politica/44/cne-contraloria-convenio-cooperacion
Presidente Daniel Noboa se reunió con Edmundo González y María Corina Machado,https://www.eltelegrafo.com.ec/noticias/politica/44/presidente-daniel-noboa-se-reunio-con-edmundo-gonzalez-y-maria-corina-machado
Gobierno Nacional inaugura Unidad de Terapia Intensiva Materna de Hospital Matilde Hidalgo,https://www.eltelegrafo.com.ec/noticias/politica/44/gobierno-nacional-inaugura-unidad-terapia
"Presidente Daniel Noboa cerró el año con 53,7% de gestión positiva",https://www.eltelegrafo.com.ec/noticias/politica/44/presidente-daniel-noboa-cerro-positiva-imagen
