titulo,enlace
El fortín de Fito: la prisión de Ecuador convertida en un comando criminal,https://planv.com.ec/investigacion/investigacion-investigacion/el-fortin-de-fito-la-prision-de-ecuador-convertida-en-un-comando-criminal/
TERRANEXUS DURÁN Las conexiones detrás del tráfico de tierras en la bodega de la droga de Ecuador,https://planv.com.ec/investigacion/investigacion-investigacion/terranexus-duran-las-conexiones-detras-del-trafico-de-tierras-en-la-bodega-de-la-droga-de-ecuador/
Disparos de la Armada: la doble muerte de Carlos Javier Vega,https://planv.com.ec/investigacion/investigacion-investigacion/disparos-la-armada-la-doble-muerte-carlos-javier-vega/
Agencia minera propone a la UAFE firmar un convenio tras la investigación sobre las exportadoras fantasmas de oro,https://planv.com.ec/investigacion/agencia-minera-propone-la-uafe-firmar-un-convenio-tras-la-investigacion/
"Ni la UAFE, Minas, Aduanas y Arcom responden sobre las exportadoras fantasmas de oro",https://planv.com.ec/investigacion/ni-la-uafe-minas-aduanas-y-arcom-responden-sobre-exportadoras-fantasmas/
Democracia y elecciones,https://planv.com.ec/historias/analisis/democracia-y-elecciones/
Venezuela: un remedo de democracia,https://planv.com.ec/historias/politica/venezuela-un-remedo-de-democracia/
Alfredo Espinosa: el sistema electoral y de partidos es una caricatura,https://planv.com.ec/historias/entrevistas/alfredo-espinosa-el-sistema-electoral-y-de-partidos-es-una-caricatura/
“En este Gobierno ha habido una politización de las Fuerzas Armadas”,https://planv.com.ec/historias/entrevistas/politizacion-ffaa-conflicto-interno/
Sembrar el miedo,https://planv.com.ec/ideas/sembrar-el-miedo/
Delirios,https://planv.com.ec/ideas/delirios/
La generación de la tabla de drogas,https://planv.com.ec/ideas/la-generacion-de-la-tabla-de-drogas/
Nina: la larga batalla por la dignidad y la justicia,https://planv.com.ec/ideas/nina-la-larga-batalla-por-la-dignidad-y-la-justicia/
Caso Metástasis: estas fueron las disculpas públicas de Mayra Salazar,https://planv.com.ec/losconfidenciales/confidencialjudicial/caso-metastasis-estas-fueron-las-disculpas-publicas-de-mayra-salazar/
Disculpas a palazos,https://planv.com.ec/losconfidenciales/confidencialpolitica/disculpas-a-palazos/
Un ‘publirreportaje’ sobre Correa con mirada petrista,https://planv.com.ec/losconfidenciales/confidencialpolitica/documental-correa-petro/
Correísmo: una máquina para filtrar chats,https://planv.com.ec/losconfidenciales/confidencialpolitica/noboa-correismo-chats/
56 exportadores sin rastros vendieron oro por más de 1.300 millones desde Ecuador,https://planv.com.ec/investigacion/oro-sin-rastro-x-mas-1300millones-ecuador/
Alfredo Espinosa: el sistema electoral y de partidos es una caricatura,https://planv.com.ec/historias/entrevistas/alfredo-espinosa-el-sistema-electoral-y-de-partidos-es-una-caricatura/
Democracia y elecciones,https://planv.com.ec/historias/analisis/democracia-y-elecciones/
Venezuela: un remedo de democracia,https://planv.com.ec/historias/politica/venezuela-un-remedo-de-democracia/
“En este Gobierno ha habido una politización de las Fuerzas Armadas”,https://planv.com.ec/historias/entrevistas/politizacion-ffaa-conflicto-interno/
"En la lucha por la vida, con ahínco al 2025",https://planv.com.ec/historias/planverde/en-la-lucha-por-la-vida-con-ahinco-al-2025/
Después del debate: a seguir nadando,https://planv.com.ec/historias/politica/despues-del-debate-a-seguir-nadando/
"Trump plantea su estrategia de seguridad fronteriza, pero sus planes enfrentarán desafíos",https://planv.com.ec/historias/sociedad/trump-plantea-su-estrategia-de-seguridad-fronteriza-pero-sus-planes-enfrentaran-desafios/
“A mi hijo Dave Robin Loor lo desaparecieron los militares y recorreré todo el país para encontrarlo”: la incansable exigencia de Lorena Roca,https://planv.com.ec/historias/derechoshumanos/a-mi-hijo-dave-robin-loor-lo-desaparecieron-los-militares-y-recorrere-todo-el-pais-para-encontrarlo-la-incansable-exigencia-de-lorena-roca/
"En la justicia, los empresarios del oro también tienen padrinos",https://planv.com.ec/investigacion/oro-los-empresarios-dorados-tienen-padrinos-en-la-justicia/
La revolución de Rasquiña: cómo Los Choneros tomaron las prisiones de Ecuador,https://planv.com.ec/investigacion/la-revolucion-de-rasquina-como-los-choneros-tomaron-las-prisiones-de-ecuador/
Los cinco impactos del 2024 y sus lecciones en un país bajo tortura,https://planv.com.ec/historias/analisis/los-cinco-impactos-del-2024-y-sus-lecciones-en-un-pais-bajo-tortura/
"Casos Purga, Plaga y Pantalla: 60 procesados esperan una resolución este 2025",https://planv.com.ec/historias/crimen-organizado/casos-purga-plaga-y-pantalla-60-procesados-esperan-una-resolucion-este-2025/
Un año del CANI y un cerro de violaciones a los DD.HH.,https://planv.com.ec/historias/derechoshumanos/cani-violaciones-ddhh/
"Los cuatro niños de Guayaquil, desaparecidos en manos de la FAE, fueron torturados, asesinados y sus cuerpos calcinados",https://planv.com.ec/historias/fae-ninos-asesinados/
Maduro juramentó para nuevo periodo presidencial en Venezuela,https://planv.com.ec/historias/venezuela-maduro-presidencia/
"Elecciones 2025, con el vandalismo político como bandera",https://planv.com.ec/historias/politica/elecciones-2025-con-el-vandalismo-politico-como-bandera/
Solo una de cada 10 familias con niños víctimas de femicidios puede sostener el hogar,https://planv.com.ec/historias/derechoshumanos/ninos-victimas-femicidios/
Disculpas a palazos,https://planv.com.ec/losconfidenciales/confidencialpolitica/disculpas-a-palazos/
Tres denuncias contra la filtración de los supuestos chats de Fernando Villavicencio,https://planv.com.ec/losconfidenciales/confidencialjudicial/denuncias-chats-fernando-villavicencio/
Querido Felipe…,https://planv.com.ec/losconfidenciales/confidencialjudicial/querido-felipe/
Caso Metástasis: estas fueron las disculpas públicas de Mayra Salazar,https://planv.com.ec/losconfidenciales/confidencialjudicial/caso-metastasis-estas-fueron-las-disculpas-publicas-de-mayra-salazar/
En el reino del lavado: por qué Ecuador no puede (ni quiere) atacar este delito,https://planv.com.ec/historias/crimen-organizado/en-el-reino-del-lavado-por-que-ecuador-no-puede-ni-quiere-atacar-este-delito/
Zurita responsabiliza a la Policía por la filtración de los mensajes del celular de Villavicencio,https://planv.com.ec/historias/crimen-organizado/zurita-villavicencio-crimen/
Solanda Goyes: hay casos de jueces que son una vergüenza para la Justicia,https://planv.com.ec/historias/justicia/solanda-goyes-hay-casos-de-jueces-que-son-una-verguenza-para-la-justicia/
"‘Ñaño, me están vendiendo CNEL en Guayaquil’: estos son los chats entre Daniel Salcedo y Leandro Norero",https://planv.com.ec/historias/nano-me-estan-vendiendo-cnel-guayaquil-estos-son-chats-entre-daniel/
"Una lujosa casa relaciona a una empresa denunciada por tráfico de diesel, con Dalo Bucaram",https://planv.com.ec/losconfidenciales/confidencialpolitica/una-lujosa-casa-relaciona-a-una-empresa-denunciada-por-trafico-de-diesel-con-dalo-bucaram/
Gral. Patricio Carrillo: detrás de Leandro Norero hay todavía un poder enorme,https://planv.com.ec/historias/gral-patricio-carrillo-detras-leandro-norero-hay-todavia-un-poder-enorme/
Caso Metástasis: Este es el testimonio completo de Mayra Salazar,https://planv.com.ec/historias/caso-metastasis-este-el-testimonio-completo-mayra-salazar/
Chats entre ñaños: Jordán y Norero operaban como un ‘dúo dinámico’,https://planv.com.ec/historias/chats-entre-nanos-jordan-y-norero-operaban-como-un-duo-dinamico/
