titulo,enlace
"Palestinians to return to northern Gaza after deal on Israeli civilian hostage reached, says Qatar",https://www.theguardian.com/world/2025/jan/27/israel-gaza-ceasefire-qatar-civilian-hostage-palestinians-statement
Jewish non-profit chief says Musk will spur violence with his ‘Nazi salute’,https://www.theguardian.com/technology/2025/jan/26/elon-musk-far-right-antisemitism
Colombia rejects US military flights with deportees and sets off feud with Trump,https://www.theguardian.com/us-news/2025/jan/26/colombia-gustavo-petro-trump-deportation-flights
NFC championship game: Washington Commanders v Philadelphia Eagles,https://www.theguardian.com/sport/live/2025/jan/26/nfc-championship-game-washington-commanders-philadelphia-eagles-latest-score-nfl-football
South Korean president indicted for insurrection over martial law decree,https://www.theguardian.com/world/2025/jan/26/south-korea-yoon-suk-yeoul-indicted
Two Van Gogh paintings to be shown in London for first time,https://www.theguardian.com/artanddesign/2025/jan/26/two-van-gogh-paintings-to-be-shown-in-london-for-first-time
Search begins for UK sailor after yacht found ‘eviscerated’ off French coast,https://www.theguardian.com/world/2025/jan/26/british-sailor-lost-at-sea-after-yacht-found-eviscerated-off-french-coast
Belarus exit poll puts Lukashenko on 87.6% of vote in presidential election,https://www.theguardian.com/world/2025/jan/26/belarus-presidential-election-alexander-lukashenko-on-course-win
Moscow claims control of Velyka Novosilka but Ukrainians say fight continues,https://www.theguardian.com/world/2025/jan/27/ukraine-war-briefing-moscow-claims-control-of-velyka-novosilka-but-ukrainians-say-fight-continues
JD Vance defends Trump’s January 6 pardons as Graham says it could spur more violence,https://www.theguardian.com/us-news/2025/jan/26/trump-january-6-pardons-jd-vance-graham
The framing of the shrew: California students photograph mammal never caught on film,https://www.theguardian.com/us-news/2025/jan/26/mount-lyell-shrew-california-photograph
"Auschwitz: 80 years after its liberation, three survivors tell their stories",https://www.theguardian.com/world/2025/jan/26/auschwitz-80-years-after-its-liberation-three-survivors-tell-their-stories
Convenient or intrusive? How Poland has embraced digital ID cards,https://www.theguardian.com/technology/2025/jan/26/poland-digital-id-cards-e-government-app
‘We’re watching mass delusion happen’: Trump’s return to White House brings cascade of lies,https://www.theguardian.com/us-news/2025/jan/26/trump-white-house-lies-immigration-economy
