titulo,enlace
Las últimas horas del jefe de la CTE en Salinas: pistas detrás de su asesinato,https://www.extra.echttps://www.extra.ec/noticia/actualidad/ultimas-horas-jefe-cte-salinas-pistas-detras-asesinato-119983.html
Repasa el debate de asambleístas nacionales de este 26 de enero,https://www.extra.echttps://www.extra.ec/noticia/actualidad/debate-asambleistas-nacionales-2025-hoy-vivo-siguelo-directo-119970.html
Guayaquil: La historia de la mujer alcanzada por los disparos destinados a su sobrino,https://www.extra.echttps://www.extra.ec/noticia/actualidad/guayaquil-historia-mujer-alcanzada-disparos-destinados-sobrino-119985.html
Persecución y tiros en Quito: Sospechosos interceptados en avenida Oswaldo Guayasamín,https://www.extra.echttps://www.extra.ec/noticia/actualidad/persecucion-tiros-quito-sospechosos-interceptados-avenida-oswaldo-guayasamin-119959.html
Jhonatan Narváez hace historia en Australia,https://www.extra.echttps://www.extra.ec/noticia/deportes/jhonatan-narvaez-historia-australia-119953.html
"En Guayaquil, policía quemó caletas usadas para el acopio de droga y los secuestros",https://www.extra.echttps://www.extra.ec/noticia/actualidad/guayaquil-policia-quemo-caletas-usadas-acopio-droga-secuestros-119946.html
Polémica judicial: Supuesto líder de Los Lobos queda libre,https://www.extra.echttps://www.extra.ec/noticia/provincias/polemica-judicial-supuesto-lider-lobos-queda-libre-119919.html
Cumpleaños mortal en Guayaquil: balean a uno de los invitados,https://www.extra.echttps://www.extra.ec/noticia/actualidad/cumpleanos-mortal-guayaquil-balean-invitados-119960.html
Violento asalto en Quitumbe: sacapintas disparan a una mujer por robarle el dinero,https://www.extra.echttps://www.extra.ec/noticia/actualidad/violento-asalto-quitumbe-sacapintas-disparan-mujer-robarle-dinero-119958.html
Jhonatan Narváez hace historia en Australia,https://www.extra.echttps://www.extra.ec/noticia/deportes/jhonatan-narvaez-historia-australia-119953.html
Ecuador - Colombia: Las sombras de las FARC en Napo,https://www.extra.echttps://www.extra.ec/noticia/actualidad/ecuador-colombia-sombras-farc-napo-119935.html
Guayaquil: una mujer es baleada afuera de una vivienda en Flor de Bastión,https://www.extra.echttps://www.extra.ec/noticia/actualidad/guayaquil-mujer-baleada-afuera-vivienda-flor-bastion-119915.html
Guayaquil: la acción cometida por presunto delincuente abatido en Flor de Bastión,https://www.extra.echttps://www.extra.ec/noticia/actualidad/guayaquil-accion-cometida-presunto-delincuente-abatido-flor-bastion-119913.html
Este es el pronóstico del clima para Guayaquil este domingo 26 de enero de 2025,https://www.extra.echttps://www.extra.ec/noticia/actualidad/pronostico-clima-guayaquil-domingo-26-enero-2025-119921.html
El error que terminó con la vida de dos menores en Guayaquil: ¿A quién buscaban?,https://www.extra.echttps://www.extra.ec/noticia/actualidad/error-termino-vida-dos-menores-guayaquil-buscaban-119903.html
"Un 'gol' contra los vicios y la violencia en el Cristo del Consuelo, Guayaquil",https://www.extra.echttps://www.extra.ec/noticia/deportes/gol-vicios-violencia-cristo-consuelo-guayaquil-119897.html
Guayaquil: Así vestía el hombre hallado baleado y degollado en el estero Salado,https://www.extra.echttps://www.extra.ec/noticia/actualidad/guayaquil-vestia-hombre-hallado-baleado-degollado-estero-salado-119874.html
"Maribel y Nimbus: Dos historias de maltrato animal con final feliz, en Quito",https://www.extra.echttps://www.extra.ec/noticia/actualidad/maribel-nimbus-dos-historias-maltrato-animal-final-feliz-quito-119931.html
"""Te mato si no me das el celular"": el infierno que viven en el Comité del Pueblo",https://www.extra.echttps://www.extra.ec/noticia/actualidad/mato-me-das-celular-infierno-viven-comite-pueblo-quito-119928.html
"Quito: Pese a perder dientes y ser hospitalizado, taxista halló y atrapó a sospechoso",https://www.extra.echttps://www.extra.ec/noticia/actualidad/quito-pese-perder-dientes-hospitalizado-taxista-hallo-atrapo-sospechoso-119918.html
Este es el pronóstico del clima para Quito este domingo 26 de enero de 2025,https://www.extra.echttps://www.extra.ec/noticia/actualidad/pronostico-clima-quito-domingo-26-enero-2025-119922.html
